Measure Mode: wall_time
Thread ID: 20079756
Fiber ID: 19903176
Total: 3.790256
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      2.395     0.001     0.000     2.394     1000   ActiveRecord::Timestamp#_create_record
  0.03      0.001     0.001     0.000     0.000     9000   String#initialize
  0.03      0.118     0.001     0.000     0.117     3002   ActiveSupport::LogSubscriber#start
  0.03      0.050     0.001     0.000     0.049     3002   ActiveSupport::Notifications::Event#duration
  0.02      0.001     0.001     0.000     0.000     1000   ActiveRecord::QueryMethods#collapse_wheres
  0.01      1.775     0.001     0.000     1.775     1000   ActiveRecord::Locking::Optimistic#_create_record
  0.01      0.001     0.001     0.000     0.000     1000   ActiveRecord::Inheritance#initialize_internals_callback
  0.01      0.001     0.001     0.000     0.000     6000   Time#nsec
  0.01      0.001     0.001     0.000     0.000     2000   #<Class:0x609b868>#type_cast_from_database
  0.01      0.221     0.001     0.000     0.220     1001   ActiveRecord::ConnectionAdapters::TransactionManager#begin_transaction
  0.01      0.001     0.001     0.000     0.000     1000   ActiveRecord::QueryMethods#limit_value
  0.01      0.016     0.001     0.000     0.016     5000   <Class::ActiveRecord::Attribute>#from_user
  0.01      0.002     0.001     0.000     0.002     2000   ActiveRecord::Type::Integer#type_cast_for_database
  0.01      0.001     0.001     0.000     0.000     3005   Hash#initialize_copy
  0.01      0.114     0.001     0.000     0.114     2000   ActiveSupport::HashWithIndifferentAccess#reverse_merge
  0.01      0.001     0.001     0.000     0.000    13000   Arel::Collectors::PlainString#<<
  0.01      0.032     0.001     0.000     0.032     1000   Arel::SelectManager#project
  0.01      0.002     0.001     0.000     0.001     6004   ActiveSupport::Notifications::Fanout#listeners_for
  0.01      3.405     0.001     0.000     3.404     1000   ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction
  0.01      0.078     0.001     0.000     0.077     4002   Enumerable#map
  0.01      1.775     0.001     0.000     1.774     1000   ActiveRecord::CounterCache#_create_record
  0.01      3.790     0.001     0.000     3.790        1   ContatosTest#test_creation
  0.01      0.128     0.001     0.000     0.128     5000   ActiveRecord::AttributeMethods::Write#write_attribute
  0.01      0.001     0.001     0.000     0.000     5000   NilClass#duplicable?
  0.01      0.050     0.001     0.000     0.049     6000   ActiveRecord::AttributeMethods::BeforeTypeCast#read_attribute_before_type_cast
  0.01      0.001     0.001     0.000     0.000     8000   Time#utc?
  0.01      0.109     0.001     0.000     0.109     2000   ActiveRecord::AttributeMethods::Dirty#changed_in_place
  0.01      0.001     0.001     0.000     0.000     1000   ActiveRecord::Type::Numeric#changed?
  0.01      0.001     0.001     0.000     0.000     4000   ActiveRecord::Type::String#changed_in_place?
  0.01      0.001     0.001     0.000     0.000     4000   ActiveRecord::ConnectionAdapters::AbstractAdapter#substitute_at
  0.01      0.001     0.001     0.000     0.000     5002   Hash#merge!
  0.01      0.001     0.001     0.000     0.000     3003   Array#any?
  0.01      0.001     0.001     0.000     0.000     8000   String#hash
  0.01      0.019     0.001     0.000     0.018     8002   <Class::ActiveRecord::RuntimeRegistry>#connection_handler
  0.01      0.296     0.001     0.000     0.296     2000   ActiveSupport::TimeWithZone#time
  0.01      0.001     0.001     0.000     0.000     7008   Kernel#nil?
  0.01      0.032     0.001     0.000     0.031     1000   ActiveRecord::Base#partial_writes?
  0.01      0.001     0.001     0.000     0.000     5000   ActiveRecord::Type::Value#changed?
  0.01      0.001     0.001     0.000     0.000     9006   ActiveSupport::SubscriberQueueRegistry#get_queue
  0.01      0.001     0.001     0.000     0.000     2002   SQLite3::Statement#close
  0.01      3.489     0.001     0.000     3.488     1000   ActiveRecord::Transactions#save
  0.01      0.004     0.001     0.000     0.003     1000   ActiveRecord::AttributeSet#initialize_dup
  0.01      0.002     0.001     0.000     0.001     1000   Array#reject
  0.01      0.001     0.001     0.000     0.000     2002   Array#include?
  0.01      0.001     0.001     0.000     0.000     1000   Array#|
  0.01      0.001     0.001     0.000     0.000     2002   Symbol#to_proc
  0.01      0.001     0.000     0.000     0.001     1000   ActiveRecord::Base#_validation_callbacks
  0.01      0.058     0.000     0.000     0.057     1000   Enumerator#each
  0.01      0.000     0.000     0.000     0.000     5000   Hash#[]
  0.01      0.133     0.000     0.000     0.133     1000   #<Module:0x60b8338>#__temp__56d61696c6
  0.01      0.003     0.000     0.000     0.003     1000   ActiveRecord::Core#has_transactional_callbacks?
  0.01      0.017     0.000     0.000     0.016     1000   #<Module:0x60c0018>#__temp__56d61696c6
  0.01      0.163     0.000     0.000     0.163     1000   ActiveRecord::QueryMethods#arel
  0.01      0.002     0.000     0.000     0.001     2000   DateAndTime::Zones#time_with_zone
  0.01      0.001     0.000     0.000     0.001     1000   ActiveRecord::LazyAttributeHash#initialized_keys
  0.01      0.000     0.000     0.000     0.000     1000   ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction_state
  0.01      0.018     0.000     0.000     0.017     1000   ActiveModel::Validations#valid?
  0.01      0.000     0.000     0.000     0.000     2001   ActiveRecord::ConnectionAdapters::DatabaseStatements#current_transaction
  0.01      0.000     0.000     0.000     0.000     1000   <Class::ActiveRecord::Base>#_initialize_callbacks
  0.01      2.397     0.000     0.000     2.396     1000   ActiveRecord::Persistence#save
  0.01      0.000     0.000     0.000     0.000     1000   ActiveRecord::Base#_save_callbacks
  0.01      0.282     0.000     0.000     0.282     1000   ActiveRecord::ConnectionAdapters::SavepointTransaction#commit
  0.01      0.047     0.000     0.000     0.047     1000   Arel::SelectManager#initialize
  0.01      0.016     0.000     0.000     0.016     1000   ActiveRecord::Timestamp#current_time_from_proper_timezone
  0.01      0.000     0.000     0.000     0.000     1000   ActiveRecord::Inheritance::ClassMethods#subclass_from_attributes?
  0.01      0.000     0.000     0.000     0.000     3002   ActiveRecord::ExplainRegistry#collect?
  0.01      1.380     0.000     0.000     1.379     1000   ActiveRecord::Relation#insert
  0.01      0.000     0.000     0.000     0.000     2000   TZInfo::TransitionDataTimezoneInfo#transition_index
  0.01      0.057     0.000     0.000     0.057     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.01      0.000     0.000     0.000     0.000     2000   Kernel#initialize_copy
  0.01      0.003     0.000     0.000     0.002     5000   ActiveRecord::Attribute::FromDatabase#type_cast
  0.01      0.002     0.000     0.000     0.002     1000   ActiveRecord::Scoping#populate_with_current_scope_attributes
  0.01      0.151     0.000     0.000     0.151     1000   ActiveRecord::AttributeMethods::Dirty#keys_for_partial_write
  0.01      0.048     0.000     0.000     0.047     1000   Hash#stringify_keys
  0.01      0.192     0.000     0.000     0.191     2000   ActiveRecord::AttributeAssignment#_assign_attribute
